companyid;companyname;ticker;price;p_l;p_vp;p_ebit;p_ativo;ev_ebit;margembruta;margemebit;margemliquida;p_sr;p_capitalgiro;p_ativocirculante;giroativos;roe;roa;roic;dividaliquidapatrimonioliquido;dividaliquidaebit;pl_ativo;passivo_ativo;liquidezcorrente;peg_ratio;receitas_cagr5;liquidezmediadiaria;vpa;lpa;valormercado;segmentid;sectorid;subsectorid;subsectorname;segmentname;sectorname;dy;lucros_cagr5;datacarga
278;SAO PAULO TURISMO S.A.;AHEB5;16,61;1,46;8,5;1,18;0,38;1,07;33,84;21,93;17,66;0,26;2,48;-0,67;1,48;582,53;26,18;533,83;-0,17;-0,02;0,04;0,96;1,55;0,0;20,77;2490,25;1,95;11,39;132581335,87;40;2,0;15,0;Viagens e Lazer;Produção de Eventos e Shows;Consumo Cíclico;;;02/20/24 12:07
278;SAO PAULO TURISMO S.A.;AHEB6;17,02;1,49;8,71;1,2;0,39;1,07;33,84;21,93;17,66;0,26;2,54;-0,69;1,48;582,53;26,18;533,83;-0,17;-0,02;0,04;0,96;1,55;0,0;20,77;1702,0;1,95;11,39;132581335,87;40;2,0;15,0;Viagens e Lazer;Produção de Eventos e Shows;Consumo Cíclico;;;02/20/24 12:07
760;ALLIED TECNOLOGIA S.A.;ALLD3;6,88;8,43;0,41;3,26;0,19;4,54;12,55;3,39;1,31;0,11;0,64;-0,6;1,67;4,9;2,2;7,91;0,16;1,28;0,45;0,55;1,73;2,75;14,71;199568,44;16,66;0,82;640425398,34;20;2,0;8,0;Comércio;Eletrodomésticos;Consumo Cíclico;7,02;32,13;02/20/24 12:07
315;ALIANSCE SONAE SHOPPING CENTERS S.A.;ALOS3;24,01;4,4;0,94;2,33;0,49;2,04;96,37;264,05;140,12;6,16;13,43;-0,55;0,08;21,32;11,2;27,21;-0,11;-0,28;0,53;0,43;1,58;0,0;25,65;102595724,0;25,62;5,46;13699874017,83;51;4,0;22,0;Exploração de Imóveis;Exploração de Imóveis;Financeiro e Outros;2,16;86,64;02/20/24 12:07
488;ALPARGATAS S.A.;ALPA3;9,56;-23,19;1,21;-17,1;0,83;-19,09;40,37;-9,97;-7,36;1,71;2,94;-1,36;0,48;-5,22;-3,56;-8,0;0,15;-2,17;0,68;0,32;3,51;0,14;2,36;35997,67;7,89;-0,41;6461364535,72;32;2,0;13,0;Tecidos. Vestuário e Calçados;Calçados;Consumo Cíclico;;;02/20/24 12:07
488;ALPARGATAS S.A.;ALPA4;9,36;-22,71;1,19;-16,74;0,81;-19,09;40,37;-9,97;-7,36;1,67;2,88;-1,33;0,48;-5,22;-3,56;-8,0;0,15;-2,17;0,68;0,32;3,51;0,14;2,36;40890541,5;7,89;-0,41;6461364535,72;32;2,0;13,0;Tecidos. Vestuário e Calçados;Calçados;Consumo Cíclico;;;02/20/24 12:07
588;ALLPARK EMPREENDIMENTOS PARTICIPACOES SERVICOS S.A;ALPK3;4,37;-8,76;2,49;6,79;0,37;15,44;29,9;10,81;-8,39;0,73;-3,17;-0,43;0,5;-28,46;-4,21;7,28;3,17;8,65;0,15;0,85;0,55;0,25;3,17;669809,03;1,75;-0,5;948394989,25;12;1,0;5,0;Serviços;Serviços Diversos;Bens Industriais;;;02/20/24 12:07
302;ALIANSCE SHOPPING CENTERS S.A.;ALSC3;27,75;38,57;2,2;16,41;1,2;14,85;75,71;65,32;27,78;10,72;9,41;-1,43;0,11;5,69;3,12;11,21;-0,21;-1,56;0,55;0,44;5,39;0,58;2,54;;12,64;0,72;5694242307,75;51;;;;;;;19,34;02/20/24 12:07
446;ALUPAR INVESTIMENTO S/A;ALUP11;29,58;12,11;1,2;3,96;0,32;7,87;75,83;71,87;23,53;2,85;3,55;-0,39;0,11;9,87;2,63;9,39;1,18;3,91;0,27;0,62;1,89;-0,57;20,04;18756180,24;24,75;2,44;9011710855,76;85;10,0;44,0;Energia Elétrica;Energia Elétrica;Utilidade Pública;6,09;17,61;02/20/24 12:07
446;ALUPAR INVESTIMENTO S/A;ALUP3;9,88;12,13;1,2;3,97;0,32;7,87;75,83;71,87;23,53;2,85;3,56;-0,39;0,11;9,87;2,63;9,39;1,18;3,91;0,27;0,62;1,89;-0,57;20,04;114637,82;8,25;0,81;9011710855,76;85;10,0;44,0;Energia Elétrica;Energia Elétrica;Utilidade Pública;6,07;17,61;02/20/24 12:07
446;ALUPAR INVESTIMENTO S/A;ALUP4;9,8;12,03;1,19;3,94;0,32;7,87;75,83;71,87;23,53;2,83;3,53;-0,39;0,11;9,87;2,63;9,39;1,18;3,91;0,27;0,62;1,89;-0,57;20,04;195071,41;8,25;0,81;9011710855,76;85;10,0;44,0;Energia Elétrica;Energia Elétrica;Utilidade Pública;6,12;17,61;02/20/24 12:07
225;MARISA LOJAS S.A.;AMAR3;2,64;-0,3;1,68;-0,49;0,07;-3,54;35,54;-16,35;-26,68;0,08;-0,55;-0,12;0,9;-554,09;-24,09;-27,15;10,33;-3,04;0,04;0,96;0,75;0,0;-0,89;1277996,97;1,57;-8,71;181021056,48;22;2,0;8,0;Comércio;Tecidos. Vestuário e Calçados;Consumo Cíclico;;;02/20/24 12:07
613;AMBIPAR PARTICIPACOES E EMPREENDIMENTOS S/A;AMBP3;14,86;-19,56;2,51;2,85;0,24;8,04;23,51;18,46;-2,69;0,53;0,99;-0,41;0,45;-12,82;-1,21;8,16;4,56;5,19;0,09;0,84;2,3;0,08;83,52;11509559,85;5,92;-0,76;2482242173,34;84;10,0;43,0;Água e Saneamento;Água e Saneamento;Utilidade Pública;0,9;;02/20/24 12:07
218;AMERICANAS S.A;AMER3;0,6;-0,04;-0,02;-0,07;0,02;-2,2;19,46;-30,26;-50,03;0,02;-0,02;-0,04;0,82;-48,42;-41,26;202,73;;-2,14;-0,85;1,85;0,34;0,0;32,64;12866731,79;-29,55;-14,31;541517701,8;21;2,0;8,0;Comércio;Produtos Diversos;Consumo Cíclico;;;02/20/24 12:07
318;ANDRADE GUTIERREZ CONCESSOES S.A.;ANDG3B;28,82;59,95;2,23;15,34;1,88;8,6;47,12;179,06;45,82;27,47;-25,32;-1,93;0,07;3,71;3,14;12,68;0,13;0,93;0,85;0,15;0,26;-0,78;10,22;;12,94;0,48;1651867985,68;53;;;;;;;-38,09;02/20/24 12:07
318;ANDRADE GUTIERREZ CONCESSOES S.A.;ANDG4B;0,0;0,0;0,0;0,0;0,0;8,6;47,12;179,06;45,82;0,0;0,0;0,0;0,07;3,71;3,14;12,68;0,13;0,93;0,85;0,15;0,26;0,0;10,22;;12,94;0,48;1651867985,68;53;;;;;;;-38,09;02/20/24 12:07
250;ANIMA HOLDING S.A.;ANIM3;4,36;-18,87;0,69;4,38;0,18;14,32;57,97;10,96;-2,54;0,48;10,07;-0,22;0,37;-3,66;-0,94;0,24;1,57;9,94;0,26;0,7;1,1;0,25;27,79;24965338,53;6,32;-0,23;1760867989,8;26;2,0;10,0;Diversos;Serviços Educacionais;Consumo Cíclico;;;02/20/24 12:07
491;ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.;APER3;44,5;34,3;1,07;15,67;0,62;15,32;100,0;11,0;5,02;1,72;-28,66;-0,78;0,36;3,12;1,82;5,96;-0,02;-0,35;0,58;0,42;0,9;-1,41;22,9;1179003,97;41,62;1,3;510865963,0;58;4,0;26,0;Previdência e Seguros;Corretoras de Seguros;Financeiro e Outros;0,73;;02/20/24 12:07
282;SIDERURGICA J. L. ALIPERTI S.A.;APTI3;197,64;-0,12;0,02;-0,07;0,01;-0,52;92,39;-162,78;-88,96;0,11;0,02;-0,01;0,07;-14,45;-6,44;-28,38;-0,07;0,27;0,45;0,55;9,26;0,0;4,07;;11460,45;-1656,52;44442750,0;42;3,0;16,0;Agropecuária;Agricultura;Consumo não Cíclico;;;02/20/24 12:07
282;SIDERURGICA J. L. ALIPERTI S.A.;APTI4;3500,0;-2,11;0,31;-1,15;0,14;-0,52;92,39;-162,78;-88,96;1,88;0,38;-0,23;0,07;-14,45;-6,44;-28,38;-0,07;0,27;0,45;0,55;9,26;0,0;4,07;;11460,45;-1656,52;44442750,0;42;3,0;16,0;Agropecuária;Agricultura;Consumo não Cíclico;;;02/20/24 12:07
794;ARMAC LOCAÇÃO. LOGÍSTICA E SERVIÇOS S.A.;ARML3;13,28;27,27;3,79;10,81;1,16;14,14;48,07;34,23;13,57;3,7;6,81;-1,68;0,31;13,89;4,25;12,06;1,17;3,33;0,31;0,69;2,22;0,8;;7720726,76;3,51;0,49;4595093024,48;8;1,0;3,0;Máquinas e Equipamentos;Máq. e Equip. Industriais;Bens Industriais;0,26;;02/20/24 12:07
221;AREZZO INDÚSTRIA E COMÉRCIO S.A.;ARZZ3;59,28;17,11;2,28;12,09;1,17;12,91;53,6;11,5;8,13;1,39;12,89;-2,23;0,84;13,3;6,83;13,38;0,16;0,82;0,51;0,48;1,23;-1,14;25,49;166967996,24;26,05;3,47;6579440131,68;22;2,0;8,0;Comércio;Tecidos. Vestuário e Calçados;Consumo Cíclico;3,26;20,02;02/20/24 12:07
743;SENDAS DISTRIBUIDORA S.A.;ASAI3;14,02;20,08;4,38;6,07;0,46;9,17;16,45;5,04;1,53;0,31;-5,55;-0,67;1,5;21,83;2,28;16,55;2,24;3,1;0,1;0,9;0,79;-0,49;;145053657,62;3,2;0,7;18952701464,0;47;3,0;19,0;Comércio e Distribuição;Alimentos;Consumo não Cíclico;0,36;;02/20/24 12:07
173;ATMA SA;ATMP3;3,0;0,07;-4,78;-0,52;0,05;-1,54;-31,36;-45,63;347,29;0,24;-4,59;-0,07;0,22;-6969,53;76,61;-72,03;;-1,02;-0,01;1,01;0,96;0,0;-16,95;113983,64;-0,63;43,76;80131068,0;12;1,0;5,0;Serviços;Serviços Diversos;Bens Industriais;;;02/20/24 12:07
349;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;ATOM3;1,98;-581,9;2,58;-41,09;1,68;-23,15;92,38;-4,89;-0,35;2,01;1,82;-76,27;0,83;-0,44;-0,29;-8,88;-1,13;17,95;0,65;0,35;17,09;5,77;;26319,35;0,77;0,0;47133698,04;57;4,0;25,0;Outros;Outros;Financeiro e Outros;16,18;;02/20/24 12:07
634;AURA MINERALS INC.;AURA33;31,26;8,64;1,3;4,45;0,52;5,65;36,53;24,61;12,67;1,09;3,49;-0,85;0,48;15,08;6,07;12,15;0,35;1,21;0,4;0,6;1,64;-0,23;32,13;1445202,24;24,0;3,62;2210701875,0;67;5,0;32,0;Mineração;Minerais Metálicos;Materiais Básicos;6,14;68,75;02/20/24 12:07
899;AUREN ENERGIA S.A.;AURE3;13,16;6,49;0,94;9,06;0,42;9,97;21,1;24,36;34,01;2,21;3,54;-0,56;0,19;14,52;6,5;0,61;0,09;0,9;0,45;0,55;1,92;0,01;;53389272,79;13,96;2,03;13170000000,0;85;10,0;44,0;Energia Elétrica;Energia Elétrica;Utilidade Pública;22,8;;02/20/24 12:07
658;ALPHAVILLE S.A.;AVLL3;4,95;-2,11;-1,52;-4,6;0,72;-9,45;32,9;-54,45;-118,56;2,51;-1,04;-0,98;0,29;-71,88;-34,0;-43,28;;-4,85;-0,47;1,47;0,28;-0,36;19,61;6969,07;-3,26;-2,34;966883801,95;23;2,0;9,0;Construção Civil;Incorporações;Consumo Cíclico;;;02/20/24 12:07
163;AZEVEDO E TRAVASSOS S.A.;AZEV3;1,65;-6,58;1,98;-6,87;0,46;-7,85;11,5;-8,21;-8,58;0,56;-7,12;-0,77;0,82;-30,05;-6,99;-43,18;0,29;-1,02;0,23;0,77;0,86;0,01;43,23;720832,74;0,83;-0,25;275209162,6;2;1,0;2,0;Construção e Engenharia;Construção Pesada;Bens Industriais;;;02/20/24 12:07
163;AZEVEDO E TRAVASSOS S.A.;AZEV4;1,64;-6,54;1,97;-6,83;0,46;-7,85;11,5;-8,21;-8,58;0,56;-7,08;-0,77;0,82;-30,05;-6,99;-43,18;0,29;-1,02;0,23;0,77;0,86;0,01;43,23;3681930,15;0,83;-0,25;275209162,6;2;1,0;2,0;Construção e Engenharia;Construção Pesada;Bens Industriais;;;02/20/24 12:07
202;AZUL S.A.;AZUL4;12,25;-12,68;-0,73;6,94;0,79;13,17;21,1;12,33;-6,75;0,86;-1,91;-1,13;0,92;-5,74;-6,23;42,22;;11,28;-1,09;2,09;0,42;0,28;15,41;194061259,94;-16,83;-0,97;4226346720,83;15;1,0;6,0;Transporte;Transporte Aéreo;Bens Industriais;;;02/20/24 12:07
367;B3 S.A. - BRASIL, BOLSA, BALCÃO;B3SA3;12,76;17,07;3,56;13,32;1,51;12,7;85,66;51,52;40,19;6,86;13,21;-2,35;0,22;20,86;8,82;12,22;-0,17;-0,62;0,42;0,58;1,46;-7,87;22,44;437960530,24;3,58;0,75;72049340000,0;62;4,0;28,0;Serviços Financeiros Diversos;Serviços Financeiros Diversos;Financeiro e Outros;3,28;26,63;02/20/24 12:07
251;BAHEMA S.A.;BAHI3;6,52;-2,12;3,99;-7,08;0,28;-14,42;43,42;-6,44;-21,49;0,46;-0,73;-0,29;0,6;-188,32;-13,0;-10,59;4,14;-7,34;0,07;0,91;0,13;0,18;56,84;28897,75;1,63;-3,07;172066594,64;26;2,0;10,0;Diversos;Serviços Educacionais;Consumo Cíclico;;;02/20/24 12:07
421;BAUMER S.A.;BALM3;11,7;-31,44;0,78;5,85;0,46;3,71;60,04;10,7;-1,99;0,63;0,96;-1,56;0,73;-2,48;-1,46;7,19;-0,22;-1,66;0,59;0,41;3,08;0,28;8,44;3253,25;15,0;-0,37;105105000,0;78;7,0;37,0;Equipamentos;Equipamentos;Saúde;0,94;;02/20/24 12:07
421;BAUMER S.A.;BALM4;9,75;-26,2;0,65;4,88;0,38;3,71;60,04;10,7;-1,99;0,52;0,8;-1,3;0,73;-2,48;-1,46;7,19;-0,22;-1,66;0,59;0,41;3,08;0,23;8,44;4755,37;15,0;-0,37;105105000,0;78;7,0;37,0;Equipamentos;Equipamentos;Saúde;1,13;;02/20/24 12:07
292;EXCELSIOR ALIMENTOS S.A.;BAUH4;80,86;-148,84;4,27;44,59;2,58;42,26;21,97;4,34;-1,3;1,94;29,99;-4,75;1,33;-2,87;-1,74;-2,68;-0,22;-2,33;0,6;0,4;1,23;1,14;3,33;19272,0;18,93;-0,54;422268870,92;45;3,0;17,0;Alimentos Processados;Carnes e Derivados;Consumo não Cíclico;1,5;;02/20/24 12:07
329;BCO AMAZONIA S.A.;BAZA3;89,45;4,2;0,86;2,79;0,12;2,79;26,11;45,99;30,61;1,28;4,03;-0,12;0,09;20,56;2,8;;;;0,14;0,86;;0,88;17,64;199186,91;103,67;21,31;5014416276,75;54;4,0;24,0;Intermediários Financeiros;Bancos;Financeiro e Outros;5,96;79,28;02/20/24 12:07
331;BCO BRASIL S.A.;BBAS3;59,76;5,14;1,03;4,0;0,08;3,99;32,66;15,94;12,4;0,64;2,99;-0,08;0,12;20,1;1,5;;;;0,07;0,92;14,76;0,23;9,97;475508671,0;57,82;11,62;170721546051,6;54;4,0;24,0;Intermediários Financeiros;Bancos;Financeiro e Outros;7,66;25,65;02/20/24 12:07
330;BCO BRADESCO S.A.;BBDC3;12,64;9,72;0,81;15,21;0,07;15,99;30,94;3,95;6,18;0,6;0,59;-0,08;0,12;8,33;0,73;;;;0,09;0,91;11,4;-0,23;8,37;99017174,32;15,62;1,3;141368969454,87;54;4,0;24,0;Intermediários Financeiros;Bancos;Financeiro e Outros;8,01;-4,12;02/20/24 12:07
330;BCO BRADESCO S.A.;BBDC4;14,0;10,76;0,9;16,85;0,08;15,99;30,94;3,95;6,18;0,67;0,65;-0,09;0,12;8,33;0,73;;;;0,09;0,91;11,4;-0,25;8,37;772740269,65;15,62;1,3;141368969454,87;54;4,0;24,0;Intermediários Financeiros;Bancos;Financeiro e Outros;7,95;-4,12;02/20/24 12:07
554;BBM LOGISTICA S.A.;BBML3;3936,42;48754,69;149535,6;3576,72;154,1;3586,4;6,84;2,69;0,2;96,25;-869,12;-250,59;1,6;306,71;0,32;5,37;404,48;9,67;0,0;1,0;0,68;-384,83;41,29;;0,03;0,08;160451699191,56;12;1,0;5,0;Serviços;Serviços Diversos;Bens Industriais;;1,17;02/20/24 12:07
357;BB SEGURIDADE PARTICIPAÇÕES S.A.;BBSE3;33,16;8,66;6,22;7,64;4,08;7,63;;;;;38,34;-5,68;0,0;71,8;47,15;;;;0,66;0,34;1,61;0,25;;172818152,21;5,33;3,83;66240000000,0;59;4,0;26,0;Previdência e Seguros;Seguradoras;Financeiro e Outros;8,65;13,59;02/20/24 12:07
180;BARDELLA S.A. INDUSTRIAS MECANICAS;BDLL3;13,0;1,48;-0,13;-0,66;0,03;-5,56;-28,71;-67,71;30,27;0,45;-1,49;-0,06;0,07;-9,03;2,24;-345,45;;-5,06;-0,25;1,25;0,96;0,01;-27,58;7800,0;-97,25;8,78;15845888,08;8;1,0;3,0;Máquinas e Equipamentos;Máq. e Equip. Industriais;Bens Industriais;;;02/20/24 12:07
180;BARDELLA S.A. INDUSTRIAS MECANICAS;BDLL4;8,01;0,91;-0,08;-0,41;0,02;-5,56;-28,71;-67,71;30,27;0,28;-0,92;-0,04;0,07;-9,03;2,24;-345,45;;-5,06;-0,25;1,25;0,96;0,01;-27,58;4238,46;-97,25;8,78;15845888,08;8;1,0;3,0;Máquinas e Equipamentos;Máq. e Equip. Industriais;Bens Industriais;;;02/20/24 12:07
295;MINERVA S.A.;BEEF11;3,62;6,02;3,5;1,08;0,08;6,32;19,88;7,42;1,32;0,08;0,31;-0,2;1,06;58,14;1,41;9,4;14,28;4,38;0,02;0,96;1,87;-0,11;20,68;;1,03;0,6;3953414979,57;45;3,0;17,0;Alimentos Processados;Carnes e Derivados;Consumo não Cíclico;;;02/20/24 12:07
295;MINERVA S.A.;BEEF3;6,48;10,78;6,27;1,92;0,15;6,32;19,88;7,42;1,32;0,14;0,56;-0,37;1,06;58,14;1,41;9,4;14,28;4,38;0,02;0,96;1,87;-0,19;20,68;67631765,59;1,03;0,6;3953414979,57;45;3,0;17,0;Alimentos Processados;Carnes e Derivados;Consumo não Cíclico;8,5;;02/20/24 12:07
326;BANESTES S.A. - BCO EST ESPIRITO SANTO;BEES3;9,62;8,84;1,44;6,33;0,07;6,4;27,82;9,27;6,64;0,59;0,95;-0,08;0,12;16,33;0,83;;;;0,05;0,95;;7,43;12,53;112290,82;6,67;1,09;3073893525,8;54;4,0;24,0;Intermediários Financeiros;Bancos;Financeiro e Outros;5,47;15,49;02/20/24 12:07
326;BANESTES S.A. - BCO EST ESPIRITO SANTO;BEES4;10,03;9,21;1,5;6,6;0,08;6,4;27,82;9,27;6,64;0,61;0,99;-0,08;0,12;16,33;0,83;;;;0,05;0,95;;7,74;12,53;50608,03;6,67;1,09;3073893525,8;54;4,0;24,0;Intermediários Financeiros;Bancos;Financeiro e Outros;5,25;15,49;02/20/24 12:07
363;BRAZILIAN FINANCE E REAL ESTATE S.A.;BFRE11;0,0;0,0;0,0;0,0;0,0;;31,58;170,29;145,51;0,0;0,0;0,0;0,06;9,21;8,19;;;;0,89;0,1;;0,0;;;302450,49;27857,74;;61;4,0;28,0;Serviços Financeiros Diversos;Gestão de Recursos e Investimentos;Financeiro e Outros;;13,07;02/20/24 12:07
363;BRAZILIAN FINANCE E REAL ESTATE S.A.;BFRE12;0,0;0,0;0,0;0,0;0,0;;31,58;170,29;145,51;0,0;0,0;0,0;0,06;9,21;8,19;;;;0,89;0,1;;0,0;;;302450,49;27857,74;;61;4,0;28,0;Serviços Financeiros Diversos;Gestão de Recursos e Investimentos;Financeiro e Outros;;13,07;02/20/24 12:07
333;BCO ESTADO DE SERGIPE S.A. - BANESE;BGIP3;26,5;7,58;0,76;6,69;0,05;6,69;35,73;5,88;5,19;0,39;-0,37;-0,1;0,13;10,09;0,7;;;;0,07;0,93;0,77;0,07;8,79;5965,36;34,66;3,5;471529128,0;54;4,0;24,0;Intermediários Financeiros;Bancos;Financeiro e Outros;8,46;-6,2;02/20/24 12:07
333;BCO ESTADO DE SERGIPE S.A. - BANESE;BGIP4;26,5;7,58;0,76;6,69;0,05;6,69;35,73;5,88;5,19;0,39;-0,37;-0,1;0,13;10,09;0,7;;;;0,07;0,93;0,77;0,07;8,79;36064,94;34,66;3,5;471529128,0;54;4,0;24,0;Intermediários Financeiros;Bancos;Financeiro e Outros;9,31;-6,2;02/20/24 12:07
216;GRUPO CASAS BAHIA S.A.;BHIA3;8,44;-0,45;0,18;-4,81;0,02;-46,79;28,99;-0,55;-5,91;0,03;-0,17;-0,04;0,94;-40,32;-5,54;-11,42;1,58;-41,99;0,14;0,86;0,74;0,0;3,76;40334838,21;46,63;-18,8;802502469,64;20;2,0;8,0;Comércio;Eletrodomésticos;Consumo Cíclico;;;02/20/24 12:07
325;BANCO INTER S.A.;BIDI11;10,4;-238,07;1,08;-91,21;0,23;-91,21;50,04;-13,62;-5,22;12,42;;-0,24;0,02;-0,45;-0,1;;;;0,22;0,78;;0,13;5,8;;9,67;-0,04;8991139764,53;54;4,0;24,0;Intermediários Financeiros;Bancos;Financeiro e Outros;;;02/20/24 12:07
325;BANCO INTER S.A.;BIDI3;3,4;-233,49;1,06;-89,46;0,23;-91,21;50,04;-13,62;-5,22;12,19;;-0,24;0,02;-0,45;-0,1;;;;0,22;0,78;;0,12;5,8;;3,22;-0,01;8991139764,53;54;4,0;24,0;Intermediários Financeiros;Bancos;Financeiro e Outros;;;02/20/24 12:07
325;BANCO INTER S.A.;BIDI4;3,41;-234,18;1,06;-89,72;0,23;-91,21;50,04;-13,62;-5,22;12,22;;-0,24;0,02;-0,45;-0,1;;;;0,22;0,78;;0,12;5,8;;3,22;-0,01;8991139764,53;54;4,0;24,0;Intermediários Financeiros;Bancos;Financeiro e Outros;;;02/20/24 12:07
412;BIOMM S.A.;BIOM3;5,6;-8,32;7,17;-9,45;2,09;-10,9;18,28;-60,4;-68,6;5,71;20,44;-3,26;0,37;-86,26;-25,16;-29,62;1,11;-1,46;0,29;0,71;1,4;0,54;299,61;105408,35;0,78;-0,67;710312293,6;77;7,0;36,0;Comércio e Distribuição;Medicamentos e Outros Produtos;Saúde;;;02/20/24 12:07
766;BLAU FARMACÊUTICA S.A.;BLAU3;12,32;6,98;1,12;5,48;0,72;5,81;39,36;29,85;23,41;1,63;1,91;-1,53;0,44;16,03;10,3;11,8;0,07;0,32;0,64;0,36;3,44;7,44;;4738532,53;11,01;1,76;2213721207,26;79;7,0;38,0;Medicamentos e Outros Produtos;Medicamentos e Outros Produtos;Saúde;3,43;;02/20/24 12:07
321;BLUE TECH SOLUTIONS E.Q.I. S;BLUT3;5,14;-5,63;0,46;-6,17;0,14;-4,91;;;;;-1,08;-0,14;0,0;-8,15;-2,46;-6,65;0,12;-1,59;0,3;0,7;0,0;0,2;;;11,21;-0,91;14115600,06;53;4,0;23,0;Holdings Diversificadas;Holdings Diversificadas;Financeiro e Outros;;;02/20/24 12:07
